item group,price,merek,Brand
WOMEN BAGS,1700000.0,MICHAEL KORS,MICHAEL KORS 35T0G0XM2B MOTT MEDIUM MESSENGER BROWN
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 35T0G0XS7B MOTT LARGE SIG BROWN
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS  FULTON SAFIANO FLAT SHOES BLACK GOLD
Men Watches,1400000.0,FOSSIL,FOSSIL FS5210IE FOSSIL WATCH
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 30S0GTTT6B JET SET ITEM MEDIUM TOTE SIGNATURE BROWN
WOMEN BAGS,2000000.0,COACH,COACH F72703 LEATHER JES MESSENGER BLACK
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEL KORS 35S0GXZS7B TEAGEN LARGE SIGNATURE WHITE
WOMEN BAGS,3800000.0,COACH,COACH 31210 CHARLIE CARRYAL SIGNATURE TAN RUST
WOMEN BAGS,1700000.0,MICHAEL KORS,MICHAEL KORS 35T0G0XM2B MOTT MEDIUM MESSENGER BROWN
Women Wallets,1100000.0,ETIENNE AIGNER,AIGNER 0506 TRAVEL COL BURGUNDY
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEL KORS 35S0GXZS7B TEAGEN LARGE SIGNATURE WHITE
Women Wallets,500000.0,FOSSIL,FOSSIL SWL2001839 SOFIA CARDCASE METALLIC
WOMEN BAGS,1850000.0,KATE SPADE,KATE SPADE WKRU6797 MEDIUM TRIPLE COMPARTMENT SATCHEL JACKSON TROPICAL TOSS
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU7087 PAYTON MEDIUM DOME SATCHEL COLOURBLOCK BEUTRAL MULTI
Women Wallets,700000.0,KATE SPADE,KATE SPADE WLRU5943 NYLON BLACK DOUBLE WRISLET
Men Watches,1200000.0,FOSSIL,FOSSIL FS5476 MEN WATCH
WOMEN BAGS,2650000.0,MICHAEL KORS,MICHAEL KORS 30F9GI6L2L JESSIE GOLD HARDWARE BLACK
WOMEN BAGS,2050000.0,MICHAEL KORS,MICHAEL KORS 30S0GTTT7B JET SET ITEM LARGE PKT MF TOTE BROWN ACORN
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRU6537 HAYDEN TOP ZIP TOTE BLACK
WOMEN BAGS,1650000.0,MICHAEL KORS,MICHAEL KORS 35T9GBFL2J FLAP SIGNATURE BROWN (STRIPE YELLOW)
Men Watches,1200000.0,FOSSIL,FOSSIL FS5628 GRANT CHRONOGRAPH
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 35T0G0XS7B MOTT LARGE SIG BROWN
WOMEN BAGS,1250000.0,FOSSIL,FOSSIL ZB7937001 ELLE E CROSSBODY BLACK
WOMEN BAGS,2600000.0,KATE SPADE,KATE SPADE PXRUB327 MARGAUX LEMONS MEDIUM SATCHEL BLUE MULTI
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T0GBFS5B BEDFORD SMALL DUFFLE SATCHEL VANILLA MULTI
Women Wallets,950000.0,MICHAEL KORS,MICHAEL KORS 35F9GFTE3B FULTON SIG WHITE WALLET
WOMEN BAGS,3150000.0,KATE SPADE,KATE SPADE PXRUA167 NICOLA TWISTLOCK MEDIUM SHOULDER BAG TAWNY
WOMEN BAGS,2250000.0,COACH,COACH 91019 KLARE XBODY SIGNATURE KHAKI BLACK
WOMEN BAGS,4950000.0,COACH,COACH 73723 TABBY PEBBLE SHOULDER BAG BLACK
WOMEN BAGS,5550000.0,TORY BURCH,TORY BURCH 644220220 FLEMING SOFT CONVERTIBLE SHOULDER BAG NEW CREAM
WOMEN BAGS,2250000.0,COACH,COACH F48735 CARRYALL SIGNATURE AVENUE LIGHT KHAKI CHALK
WOMEN BAGS,1100000.0,KATE SPADE,KATE SPADE 8ARU6864 LAPTOP CASES CHERRIES UNIVERSAL LAPTOP BLACK MULTI
WOMEN BAGS,1500000.0,KATE SPADE,MICHAEL KORS 38H9CCPC3B CINDY LARGE DOME CROSSBODY BROWN
WOMEN BAGS,1100000.0,KATE SPADE,KATE SPADE 8ARU6864 LAPTOP CASES CHERRIES UNIVERSAL LAPTOP BLACK MULTI
MEN BAGS,1850000.0,COACH,COACH 3990 WARREN BELTBAG MARVEL BLACK
WOMEN BAGS,2450000.0,MICHAEL KORS,MICHAEL KORS 35T0GX0L6B ROSE MEDIUM FLAP SHOULDER VEGAN FAUX LEATHER EMBOSSED BLACK
WOMEN BAGS,2850000.0,TORY BURCH,TORY BURCH 60227 KIRA CHEVRON SMALL CAMERA BAG GREEN
WOMEN BAGS,2300000.0,MICHAEL KORS,MICHAEL KORS 30F9GI6L2L JESSIE MEDIUM FLAP SHOULDER OLIVE
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2V CECE MEDIUM CHAIN SHOULDER BALLET MULTI
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE BROWN BLACK
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE BROWN BLACK
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE PXRUA750 VANITY SPARKLE MINI TOP GANDLE BLAZERBLUE
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2B CECE MEDIUM CHAIN SHOULDER BROWN BLACK
Women Shoes,2550000.0,TORY BURCH,TORY BURCH MINNIE TRAVEL BALLET FLAT SHOES MAROON
Women Shoes,2550000.0,TORY BURCH,TORY BURCH MINNIE CAP-TOE BALLET SHOES PERFECT BLACK
WOMEN BAGS,2150000.0,MICHAEL KORS,MICHAEL KORS 35T0GW5L2B WANDA MEDIUM SHOULDER BROWN
WOMEN BAGS,4850000.0,TORY BURCH,TORY BURCH 59705 KIRA MIXED-MATERIALS TOP HANDLE SATCHEL BLACK
WOMEN BAGS,3050000.0,TORY BURCH,TORY BURCH 60227 KIRA CHEVRON SMALL CAMERA BAG GREEN
WOMEN BAGS,2600000.0,KATE SPADE,KATE SPADE PXRUB327 MARGAUX LEMONS MEDIUM SATCHEL BLUE MULTI
WOMEN BAGS,2750000.0,KATE SPADE,KATE SPADE PXRUA161 MARGAUX WHITE BLUE
